BranchCode,YearOpened,MonthOpened,QuaterOpened,LocationCluster,StoreType,edcType,StoreProvince
195,2013,12,Q4,Downtown,CJSUPERMARKET,Welfare,Nakhon Pathom
196,2013,12,Q4,CityEdge,CJSUPERMARKET,Welfare,Ayutthaya
197,2013,12,Q4,NearFactory,CJSUPERMARKET,Welfare,Samut Sakhon
198,2013,12,Q4,City,CJSUPERMARKET,Welfare,Bangkok
200,2013,12,Q4,Oasis,CJSUPERMARKET,Welfare,Samut Songkhram
199,2013,12,Q4,NearFactory,CJSUPERMARKET,Welfare,Samut Sakhon
201,2014,1,Q1,Suburb,CJSUPERMARKET,Welfare,Nonthaburi
202,2014,1,Q1,Suburb,CJSUPERMARKET,Welfare,Nonthaburi
203,2014,1,Q1,Suburb,CJSUPERMARKET,Welfare,Nonthaburi
204,2014,1,Q1,CityEdge,CJSUPERMARKET,Welfare,Kanchanaburi
205,2014,1,Q1,Oasis,CJSUPERMARKET,Welfare,Kanchanaburi
206,2014,2,Q1,CityEdge,CJSUPERMARKET,Welfare,Prachuap Khiri Khan
207,2014,2,Q1,Oasis,CJSUPERMARKET,Welfare,Samut Songkhram
208,2014,2,Q1,City,CJSUPERMARKET,Welfare,Nonthaburi
209,2014,2,Q1,Downtown,CJSUPERMARKET,Welfare,Samut Songkhram
211,2014,2,Q1,Downtown,CJSUPERMARKET,Welfare,Samut Songkhram
210,2014,2,Q1,Oasis,CJSUPERMARKET,Welfare,Suphan Buri
212,2014,3,Q1,Oasis,CJSUPERMARKET,Welfare,Samut Songkhram
213,2014,3,Q1,Downtown,CJSUPERMARKET,Welfare,Chai Nat
214,2014,3,Q1,Suburb,CJSUPERMARKET,Welfare,Nonthaburi
215,2014,3,Q1,CityEdge,CJSUPERMARKET,Welfare,Chon Buri
216,2014,3,Q1,NearFactory,CJSUPERMARKET,Welfare,Chon Buri
217,2014,3,Q1,NearFactory,CJSUPERMARKET,Welfare,Ayutthaya
218,2014,4,Q2,Oasis,CJSUPERMARKET,Welfare,Ayutthaya
221,2014,4,Q2,NearFactory,CJSUPERMARKET,Welfare,Ayutthaya
220,2014,4,Q2,NearFactory,CJSUPERMARKET,Welfare,Rayong
222,2014,4,Q2,Suburb,CJSUPERMARKET,Welfare,Samut Prakan
223,2014,4,Q2,Downtown,CJSUPERMARKET,Welfare,Nakhon Pathom
224,2014,4,Q2,Downtown,CJSUPERMARKET,Welfare,Ayutthaya
225,2014,5,Q2,Downtown,CJSUPERMARKET,Welfare,Nakhon Pathom
226,2014,5,Q2,Oasis,CJSUPERMARKET,Welfare,Suphan Buri
228,2014,5,Q2,Downtown,CJSUPERMARKET,Welfare,Kanchanaburi
227,2014,5,Q2,CityEdge,CJSUPERMARKET,Welfare,Rayong
229,2014,5,Q2,NearFactory,CJSUPERMARKET,Welfare,Rayong
230,2014,6,Q2,City,CJSUPERMARKET,Welfare,Bangkok
231,2014,6,Q2,Oasis,CJSUPERMARKET,Welfare,Ratchaburi
232,2014,6,Q2,CityEdge,CJSUPERMARKET,Welfare,Phetchaburi
233,2014,6,Q2,Suburb,CJSUPERMARKET,Welfare,Nonthaburi
234,2014,6,Q2,NearFactory,CJSUPERMARKET,Welfare,Chon Buri
236,2014,7,Q3,Oasis,CJSUPERMARKET,Welfare,Kanchanaburi
237,2014,7,Q3,Oasis,CJSUPERMARKET,Welfare,Ang Thong
238,2014,7,Q3,Oasis,CJSUPERMARKET,Welfare,Kanchanaburi
239,2016,9,Q3,Downtown,CJSUPERMARKET,Welfare,Ratchaburi
240,2016,9,Q3,Suburb,CJSUPERMARKET,Welfare,Nonthaburi
241,2016,11,Q4,Downtown,CJSUPERMARKET,Welfare,Samut Prakan
242,2016,11,Q4,CityEdge,CJSUPERMARKET,Welfare,Nakhon Pathom
243,2017,1,Q1,Suburb,CJSUPERMARKET,Welfare,Pathum Thani
244,2017,1,Q1,Suburb,CJSUPERMARKET,Welfare,Pathum Thani
245,2017,1,Q1,Oasis,CJSUPERMARKET,Welfare,Suphan Buri
246,2017,1,Q1,NearFactory,CJSUPERMARKET,Welfare,Phetchaburi
247,2017,2,Q1,Downtown,CJSUPERMARKET,Welfare,Ang Thong
248,2017,2,Q1,Oasis,CJSUPERMARKET,Welfare,Sing Buri
258,2017,3,Q1,Suburb,CJSUPERMARKET,Welfare,Pathum Thani
259,2017,3,Q1,Oasis,CJSUPERMARKET,Welfare,Chai Nat
249,2017,3,Q1,CityEdge,CJSUPERMARKET,Welfare,Chon Buri
251,2017,3,Q1,Oasis,CJSUPERMARKET,Welfare,Lop Buri
250,2017,3,Q1,Suburb,CJSUPERMARKET,Welfare,Pathum Thani
260,2017,4,Q2,NearFactory,CJSUPERMARKET,Welfare,Samut Prakan
261,2017,4,Q2,Downtown,CJSUPERMARKET,Welfare,Chon Buri
263,2017,4,Q2,NearFactory,CJSUPERMARKET,Welfare,Lop Buri
264,2017,4,Q2,Oasis,CJSUPERMARKET,Welfare,Chon Buri
262,2017,5,Q2,Downtown,CJSUPERMARKET,Welfare,Lop Buri
266,2017,5,Q2,NearFactory,CJSUPERMARKET,Welfare,Ayutthaya
269,2017,5,Q2,Oasis,CJSUPERMARKET,Welfare,Kanchanaburi
268,2017,5,Q2,Oasis,CJSUPERMARKET,Welfare,Kanchanaburi
271,2017,6,Q2,NearFactory,CJSUPERMARKET,Welfare,Pathum Thani
265,2017,6,Q2,Suburb,CJSUPERMARKET,Welfare,Bangkok
270,2017,6,Q2,Oasis,CJSUPERMARKET,Welfare,Ratchaburi
275,2017,7,Q3,Oasis,CJSUPERMARKET,Welfare,Suphan Buri
267,2017,7,Q3,Downtown,CJSUPERMARKET,Welfare,Chon Buri
274,2017,7,Q3,Oasis,CJSUPERMARKET,Welfare,Suphan Buri
273,2017,7,Q3,Downtown,CJSUPERMARKET,Welfare,Lop Buri
277,2017,7,Q3,Oasis,CJSUPERMARKET,Welfare,Suphan Buri
276,2017,7,Q3,Oasis,CJSUPERMARKET,Welfare,Nakhon Pathom
282,2017,8,Q3,Oasis,CJSUPERMARKET,Welfare,Prachuap Khiri Khan
278,2017,8,Q3,Oasis,CJSUPERMARKET,Welfare,Suphan Buri
283,2017,8,Q3,Oasis,CJSUPERMARKET,Welfare,Suphan Buri
280,2017,8,Q3,Downtown,CJSUPERMARKET,Welfare,Lop Buri
284,2017,8,Q3,Oasis,CJSUPERMARKET,Welfare,Nakhon Pathom
285,2017,8,Q3,Oasis,CJSUPERMARKET,Welfare,Nakhon Pathom
