ProvinceEN,ZipCode,latitude,longitude
Loei,42110,17.810625,101.710375
Loei,42120,17.2757,101.2059
Loei,42130,17.2779,101.7532
Loei,42140,17.6185,101.4188333
Loei,42150,17.89483333,101.9588333
Loei,42160,17.411,101.3955
Loei,42170,17.4456,100.9986
Loei,42180,16.921,101.8865
Loei,42190,17.05866667,101.8266667
Loei,42210,17.505,101.9725
Loei,42220,17.27425,101.9785
Loei,42230,17.1098,101.6594
Loei,42240,17.0446,102.005
Lop Buri,13240,14.674,100.597
Lop Buri,15000,14.7697,100.61615
Lop Buri,15110,15.0565,100.5619444
Lop Buri,15120,15.06584615,100.7409231
Lop Buri,15130,15.2,101.1580714
Lop Buri,15140,14.90633333,101.0355
Lop Buri,15150,14.81933333,100.5081111
Lop Buri,15160,14.8955,100.625
Lop Buri,15170,15.27316667,100.6948333
Lop Buri,15180,14.93533333,100.468
Lop Buri,15190,15.32633333,101.3321667
Lop Buri,15210,14.866,100.817
Lop Buri,15220,14.871,100.8805
Lop Buri,15230,15.05711111,101.1423333
Lop Buri,15240,15.2068,100.8442
Lop Buri,15250,15.4204,100.8424
Lop Buri,18220,14.951,101.205
Mae Hong Son,58000,19.264,97.98466667
Mae Hong Son,58110,18.09623077,97.93461538
Mae Hong Son,58120,18.4875,98.011875
Mae Hong Son,58130,19.32885714,98.41871429
Mae Hong Son,58140,18.80483333,97.911
Mae Hong Son,58150,19.57725,98.199
Maha Sarakham,44000,16.11678571,103.3392857
Maha Sarakham,44110,15.52892308,103.2422308
Maha Sarakham,44120,15.86506667,103.3556667
Maha Sarakham,44130,15.99936842,103.0905263
Maha Sarakham,44140,16.24958824,103.0158824
Maha Sarakham,44150,16.2846,103.2811
Maha Sarakham,44160,16.44325,103.1018333
Maha Sarakham,44170,15.8015,103.0386
Maha Sarakham,44180,15.72266667,103.2436667
Maha Sarakham,44190,16.0514,103.405
Maha Sarakham,44210,15.65657143,103.1045714
Mukdahan,49000,16.56138462,104.6188462
Mukdahan,49110,16.612,104.38775
Mukdahan,49120,16.31485714,104.8217143
Mukdahan,49130,16.35528571,104.551
Mukdahan,49140,16.79716667,104.4616667
Mukdahan,49150,16.7266,104.721
Mukdahan,49160,16.44883333,104.3608333
Nakhon Nayok,26000,14.21728571,101.2028571
Nakhon Nayok,26110,14.2556,101.0556
Nakhon Nayok,26120,14.0891,101.0013
Nakhon Nayok,26130,14.17942857,101.2957143
Nakhon Pathom,73000,13.82192,100.03248
Nakhon Pathom,73110,13.7194,100.2033
Nakhon Pathom,73120,13.81620833,100.184125
Nakhon Pathom,73130,14.02438462,100.1936923
Nakhon Pathom,73140,14.00433333,99.9625
Nakhon Pathom,73150,13.941,100.097
Nakhon Pathom,73160,13.7,100.268
Nakhon Pathom,73170,13.83,100.2826667
Nakhon Pathom,73180,14.11233333,100.0106667
Nakhon Pathom,73190,14.106,100.12
Nakhon Pathom,73210,13.769,100.28475
Nakhon Pathom,73220,13.737,100.322
Nakhon Phanom,48000,17.32228571,104.6955714
Nakhon Phanom,48110,16.99558333,104.7054167
Nakhon Phanom,48120,17.61677778,104.4986667
Nakhon Phanom,48130,16.979375,104.478875
Nakhon Phanom,48140,17.883625,104.161625
Nakhon Phanom,48150,17.62733333,104.2395556
